word,R,G,B
aback,139,69,19
abandon,255,140,0
abandoned,62,62,62
abandonment,46,58,74
abate,128,128,128
abatement,139,69,19
abbot,128,0,128
abbreviate,128,85,128
abbreviation,32,84,32
abdominal,255,105,180
abduction,168,101,101
aberrant,255,122,90
aberration,134,82,21
abeyance,69,83,103
abhor,129,39,23
abhorrent,57,39,27
abide,34,139,34
ability,138,113,50
abject,66,43,26
ablation,190,110,110
ablaze,220,20,20
abnormal,30,30,30
aboard,30,100,200
abode,139,69,19
abolition,30,30,30
abominable,113,96,83
abomination,77,27,27
aboriginal,104,92,24
abort,220,20,20
abortion,125,25,25
abortive,104,37,24
abovementioned,79,79,79
abrasion,220,20,20
abroad,32,119,117
abrogate,93,26,26
abrupt,165,80,36
abruptly,220,20,20
abscess,30,30,30
absence,255,255,255
absent,174,150,134
absinthe,34,139,34
absolute,191,134,64
absolution,255,255,255
absorbent,255,255,255
absorbing,79,114,164
absorption,79,114,164
abstain,222,182,182
abstinence,180,203,236
absurd,237,98,10
absurdity,140,115,38
abundance,34,139,34
abundant,143,148,58
abuse,125,25,25
abutment,157,121,58
abysmal,30,30,30
abyss,30,30,30
academic,110,96,153
accede,255,215,0
accelerate,65,92,65
acceleration,94,63,28
accent,197,104,9
accentuate,255,166,145
accept,142,157,100
acceptable,139,160,54
acceptance,255,241,170
access,34,139,34
accessible,180,190,151
accession,181,166,156
accessory,191,171,64
accident,125,25,25
accidental,255,215,0
accommodate,30,100,200
accommodation,255,191,145
accompaniment,142,157,100
accompany,191,191,191
accompanying,255,215,0
accomplice,30,30,30
accomplish,133,118,168
accomplished,142,157,100
accomplishment,142,177,227
accord,105,128,161
accordion,30,30,30
account,34,139,34
accountable,220,20,20
accountant,56,126,99
accounting,32,102,32
accounts,34,139,34
accretion,154,128,78
accrue,34,139,34
accueil,30,100,200
accumulate,94,86,84
accumulation,69,115,29
accuracy,255,255,255
accurate,255,255,255
accursed,54,54,54
accusation,220,20,20
accusative,220,20,20
accused,220,20,20
accuser,30,30,30
accusing,30,30,30
accustomed,255,160,90
ace,125,25,25
ache,220,20,20
achieve,34,139,34
achievement,255,215,0
aching,220,20,20
acid,255,215,0
acidity,220,20,20
acknowledge,34,139,34
acknowledged,255,140,0
acknowledgment,255,235,127
acme,255,215,0
acoustics,128,128,128
acquaintance,79,114,164
acquainted,142,157,100
acquiescence,79,96,121
acquire,107,177,107
acquisition,181,153,71
acquisitions,128,128,128
acreage,34,139,34
acres,34,139,34
acrobat,137,80,109
act,191,171,64
acting,255,140,0
action,169,138,103
actionable,220,20,20
active,169,88,78
activity,212,131,127
actor,30,30,30
actual,255,245,191
actuality,30,30,30
actuary,30,30,30
adage,142,141,17
adamant,220,20,20
adapt,34,139,34
adaptable,181,164,11
add,94,63,28
added,220,20,20
adder,30,30,30
addiction,30,30,30
addition,185,142,119
additional,107,127,82
additive,162,83,63
address,30,100,200
addresses,30,100,200
adequacy,139,69,19
adequate,138,147,109
adhere,34,139,34
adherence,34,139,34
adhering,144,177,17
adhesion,255,255,255
adhesive,255,215,0
adieu,30,100,200
adjective,237,137,137
adjournment,139,69,19
adjudicate,138,120,108
adjunct,106,88,76
adjust,34,139,34
adjustment,255,140,0
adjuvant,255,191,145
administer,255,140,0
administration,133,98,73
administrative,191,191,191
admiral,30,100,200
admiration,184,165,167
admire,255,180,217
admirer,255,105,180
admissibility,30,100,200
admissible,34,139,34
admission,34,139,34
admit,255,203,85
admitted,255,140,0
admitting,30,100,200
admonition,87,47,47
ado,127,95,60
adobe,255,255,255
adopt,143,177,122
adorable,255,105,180
adoration,255,155,205
adore,255,105,180
adorn,255,105,180
adornment,201,53,49
adrift,114,134,131
adult,255,255,255
adultery,231,48,73
advance,255,215,0
advanced,255,215,0
advancement,32,119,117
advancing,30,100,200
advantage,243,138,91
advantageous,143,164,87
adventure,181,139,11
adventurous,127,53,60
adversary,30,30,30
adverse,220,20,20
adversity,125,25,25
advertise,237,137,137
advertisement,139,174,139
advice,30,30,30
advise,142,102,190
advisement,255,215,0
adviser,142,157,100
advocacy,169,138,103
advocate,32,119,117
aegis,128,128,128
aerial,105,151,218
aerodrome,84,84,109
aerodynamics,128,128,128
aeronautics,30,100,200
aesthetic,180,159,111
aesthetics,198,141,203
aetiology,128,128,128
afar,128,128,128
affable,255,105,180
affair,79,79,79
affection,255,105,180
affiche,255,255,255
affidavit,167,167,167
affiliated,128,128,128
affiliation,76,123,93
affinity,30,100,200
affirm,144,197,144
affirmation,142,142,142
affirmative,169,124,18
affirmatively,32,119,117
affix,131,108,91
afflicted,220,20,20
affliction,141,104,16
affluence,107,164,22
affluent,34,139,34
afford,34,139,34
affront,188,21,21
afield,128,128,128
afore,128,128,128
aforementioned,191,191,191
aforesaid,169,124,18
afresh,255,255,255
aft,139,69,19
aftermath,84,49,24
afternoon,191,171,64
afterthought,170,157,85
aga,128,0,128
agate,30,100,200
age,128,128,128
aged,128,128,128
agency,79,114,164
agent,79,50,164
agglomeration,197,142,9
aggravating,189,56,56
aggravation,220,20,20
aggregate,255,215,0
aggregation,79,114,164
aggression,220,20,20
aggressive,220,20,20
aggressor,220,20,20
aghast,190,82,12
agile,210,162,42
agitated,128,0,128
agitation,255,140,0
agonizing,189,13,56
agony,93,26,26
agree,255,235,127
agreeable,198,168,158
agreed,66,89,139
agreeing,198,168,158
agreement,88,158,130
agricultural,34,139,34
agriculture,34,139,34
aground,139,69,19
agua,30,100,200
ahead,255,255,255
aid,127,79,27
aiding,255,255,255
ail,142,122,15
ailment,139,69,19
aim,196,122,99
aimless,128,128,128
air,86,121,171
airman,30,100,200
airport,79,114,164
airs,175,109,120
airship,255,255,255
aisle,142,142,142
ait,144,197,144
ajar,133,98,73
akin,84,84,109
alabaster,255,255,255
alarm,220,20,20
alarming,220,20,20
alb,255,255,255
album,129,39,23
alcohol,139,69,19
alcoholism,30,30,30
alcove,139,69,19
alert,220,20,20
alertness,168,86,73
alerts,220,20,20
alfalfa,34,139,34
algebra,220,20,20
algebraic,30,30,30
algorithm,30,30,30
alibi,255,255,255
alien,90,106,90
alienate,131,76,24
alienation,69,115,29
alignment,255,215,0
alimony,34,139,34
aliquot,84,49,24
alive,255,170,153
alkali,255,255,255
allay,167,179,125
allegation,30,30,30
allege,64,99,64
alleged,128,128,128
allegiance,156,46,80
allegorical,128,128,128
allegory,128,128,128
alleviate,135,120,177
alleviation,255,255,255
alley,82,91,52
alliance,198,177,113
allied,169,124,18
alligator,34,139,34
allocation,79,114,164
allot,74,104,81
allotment,144,197,144
allowable,51,121,119
allowance,34,139,34
allowed,144,197,144
alloy,128,128,128
allure,174,10,74
allusion,170,170,170
alluvial,139,69,19
ally,255,255,255
almanac,102,56,22
almighty,255,255,255
aloft,142,177,227
alongside,199,216,136
aloof,137,161,194
aloud,128,0,128
alphabetical,255,215,0
altar,255,255,255
alter,128,128,128
altercation,30,30,30
altered,255,215,0
alternate,191,134,64
alternative,178,106,72
alto,34,139,34
altogether,79,114,164
alumnus,255,140,0
alveolar,255,105,180
amalgam,128,128,128
amalgamation,255,140,0
amass,129,135,71
amateur,144,197,144
amaze,128,0,128
amazingly,255,255,255
ambassador,180,176,66
amber,255,140,0
ambient,255,215,0
ambiguity,128,64,128
ambiguous,128,128,128
ambition,125,60,110
ambulance,220,20,20
ambush,163,43,43
ameliorate,34,139,34
amen,142,177,227
amends,255,166,145
amenity,34,139,34
amethyst,128,0,128
amiable,142,157,100
amicable,255,105,180
ammonia,255,255,255
ammunition,128,128,128
