grapheme,n_subjects,R_0_1,G_0_1,B_0_1,R_0_255,G_0_255,B_0_255
A,6510,0.769465,0.316577,0.198266,196,81,51
B,6456,0.428771,0.322382,0.394259,109,82,101
C,6465,0.708014,0.661632,0.319989,181,169,82
D,6405,0.413035,0.374455,0.256472,105,95,65
E,6458,0.489266,0.536116,0.331780,125,137,85
F,6385,0.472846,0.432540,0.303705,121,110,77
G,6382,0.413583,0.410833,0.196374,105,105,50
H,6355,0.625581,0.499600,0.288535,160,127,74
I,6155,0.699551,0.702345,0.568931,178,179,145
J,6361,0.536706,0.413375,0.338574,137,105,86
K,6324,0.567882,0.361652,0.323865,145,92,83
L,6326,0.588784,0.584788,0.390183,150,149,99
M,6429,0.539289,0.250444,0.262665,138,64,67
N,6374,0.549304,0.399929,0.247203,140,102,63
O,5984,0.637097,0.601546,0.542490,162,153,138
P,6350,0.546353,0.362236,0.375160,139,92,96
Q,6034,0.506989,0.384314,0.421221,129,98,107
R,6408,0.528681,0.208516,0.198590,135,53,51
S,6436,0.649848,0.501843,0.306078,166,128,78
T,6338,0.417846,0.394760,0.244744,107,101,62
U,6149,0.598290,0.517963,0.398356,153,132,102
V,6227,0.496813,0.396843,0.327712,127,101,84
W,6185,0.450049,0.387780,0.377678,115,99,96
X,5972,0.385332,0.291693,0.247974,98,74,63
Y,6288,0.750992,0.685581,0.284694,192,175,73
Z,6180,0.392512,0.304762,0.211053,100,78,54
